月份,日,商品名称,类别,单价,销量,销售额
2024-04,26,调味品12号,调味品,15.25,4,60.47
2024-04,26,乳制品7号,乳制品,8.41,4,31.14
2024-04,26,日用品3号,日用品,20.72,1,19.04
2024-04,26,速食7号,速食,58.91,3,189.27
2024-04,26,零食10号,零食,34.71,4,148.92
2024-04,26,调味品11号,调味品,58.26,4,256.27
2024-04,26,日用品4号,日用品,21.1,4,86.54
2024-04,26,饮料5号,饮料,14.32,1,13.85
2024-04,26,文具9号,文具,31.66,3,87.98
2024-04,26,零食5号,零食,41.0,4,171.34
2024-04,26,乳制品6号,乳制品,55.96,1,51.24
2024-04,26,零食9号,零食,52.4,2,100.21
2024-04,26,文具4号,文具,8.17,4,31.8
2024-04,26,个护11号,个护,59.31,1,54.02
2024-04,26,个护7号,个护,47.78,4,177.19
2024-04,27,饮料11号,饮料,11.55,3,34.17
2024-04,27,零食8号,零食,44.44,4,180.21
2024-04,27,乳制品7号,乳制品,8.41,3,25.61
2024-04,27,文具10号,文具,46.56,5,246.63
2024-04,27,个护7号,个护,47.78,4,202.05
2024-04,27,乳制品6号,乳制品,55.96,1,59.74
2024-04,27,日用品2号,日用品,53.81,3,152.3
2024-04,27,零食3号,零食,5.65,4,21.69
2024-04,27,日用品13号,日用品,40.49,2,83.16
2024-04,27,零食4号,零食,27.36,3,74.43
2024-04,27,个护10号,个护,27.95,4,102.6
2024-04,27,零食9号,零食,52.4,4,211.0
2024-04,27,个护1号,个护,51.19,5,247.69
2024-04,27,速食13号,速食,7.67,4,27.81
2024-04,27,文具1号,文具,3.76,5,18.94
2024-04,27,个护9号,个护,7.36,4,30.88
2024-04,27,调味品11号,调味品,58.26,3,166.65
2024-04,27,日用品7号,日用品,10.83,2,21.4
2024-04,27,日用品11号,日用品,31.24,4,134.94
2024-04,27,饮料4号,饮料,9.61,3,28.36
2024-04,27,日用品7号,日用品,10.83,4,45.99
2024-04,27,调味品1号,调味品,20.54,4,82.89
2024-04,27,零食8号,零食,44.44,5,242.22
2024-04,27,日用品6号,日用品,45.43,1,42.92
2024-04,27,日用品3号,日用品,20.72,3,63.92
2024-04,27,零食7号,零食,40.22,4,161.75
2024-04,27,乳制品9号,乳制品,52.36,3,152.9
2024-04,27,文具10号,文具,46.56,1,51.18
2024-04,27,个护2号,个护,15.48,1,14.07
2024-04,27,日用品7号,日用品,10.83,1,10.27
2024-04,27,日用品9号,日用品,16.49,5,89.62
2024-04,27,日用品12号,日用品,51.99,4,209.69
2024-04,27,文具2号,文具,17.27,2,36.62
2024-04,27,文具12号,文具,25.87,1,23.66
2024-04,27,日用品7号,日用品,10.83,4,39.66
2024-04,27,日用品9号,日用品,16.49,3,51.18
2024-04,27,乳制品11号,乳制品,3.86,2,8.35
2024-04,27,日用品1号,日用品,40.93,4,163.46
2024-04,27,日用品9号,日用品,16.49,4,68.93
2024-04,27,乳制品6号,乳制品,55.96,4,226.04
2024-04,27,日用品11号,日用品,31.24,2,58.55
2024-04,27,乳制品6号,乳制品,55.96,2,101.26
2024-04,27,日用品6号,日用品,45.43,1,42.38
2024-04,27,速食1号,速食,12.93,1,13.52
2024-04,27,饮料10号,饮料,38.96,1,42.62
2024-04,27,日用品3号,日用品,20.72,2,43.64
2024-04,27,调味品12号,调味品,15.25,4,63.04
2024-04,27,文具9号,文具,31.66,5,153.64
2024-04,28,个护1号,个护,51.19,3,146.63
2024-04,28,零食11号,零食,54.32,3,160.79
2024-04,28,乳制品6号,乳制品,55.96,2,118.29
2024-04,28,零食6号,零食,39.89,3,123.55
2024-04,28,饮料10号,饮料,38.96,1,36.4
2024-04,28,速食8号,速食,36.57,4,146.19
2024-04,28,速食4号,速食,3.3,2,6.3
2024-04,28,速食12号,速食,53.72,4,222.08
2024-04,28,饮料8号,饮料,15.34,2,29.02
2024-04,28,文具3号,文具,20.78,4,83.07
2024-04,28,速食1号,速食,12.93,2,27.48
2024-04,28,个护1号,个护,51.19,3,143.09
2024-04,28,零食8号,零食,44.44,2,91.11
2024-04,28,零食8号,零食,44.44,1,40.49
2024-04,28,个护7号,个护,47.78,2,90.85
2024-04,28,速食7号,速食,58.91,2,128.34
2024-04,28,文具11号,文具,31.57,2,67.1
2024-04,28,文具7号,文具,11.7,1,11.47
2024-04,28,速食8号,速食,36.57,1,40.01
2024-04,28,零食6号,零食,39.89,2,75.4
2024-04,28,文具13号,文具,53.37,5,265.11
2024-04,28,文具3号,文具,20.78,4,83.77
2024-04,28,饮料3号,饮料,18.07,5,93.34
2024-04,28,个护7号,个护,47.78,5,262.68
2024-04,28,日用品7号,日用品,10.83,4,41.3
2024-04,28,饮料8号,饮料,15.34,3,48.95
2024-04,28,日用品2号,日用品,53.81,5,259.41
2024-04,28,调味品6号,调味品,25.33,2,48.58
2024-04,28,文具12号,文具,25.87,5,138.05
2024-04,28,个护4号,个护,33.06,3,95.13
2024-04,28,调味品11号,调味品,58.26,1,63.56
2024-05,1,个护6号,个护,34.11,4,138.7
2024-05,1,调味品6号,调味品,25.33,3,73.87
2024-05,1,调味品2号,调味品,32.7,2,65.7
2024-05,1,日用品7号,日用品,10.83,2,20.98
2024-05,1,乳制品3号,乳制品,4.23,1,3.9
2024-05,1,文具8号,文具,11.93,3,34.6
2024-05,1,乳制品8号,乳制品,14.25,2,26.53
2024-05,1,文具9号,文具,31.66,1,29.23
2024-05,1,乳制品7号,乳制品,8.41,5,44.29
2024-05,1,乳制品6号,乳制品,55.96,5,256.41
2024-05,1,调味品12号,调味品,15.25,1,15.39
2024-05,1,乳制品2号,乳制品,4.08,2,8.55
2024-05,1,个护10号,个护,27.95,5,135.3
2024-05,1,饮料11号,饮料,11.55,5,57.65
2024-05,1,乳制品11号,乳制品,3.86,5,20.92
2024-05,1,日用品4号,日用品,21.1,5,104.96
2024-05,1,文具8号,文具,11.93,1,12.38
2024-05,1,调味品13号,调味品,20.73,2,41.81
2024-05,1,日用品3号,日用品,20.72,3,68.12
2024-05,1,日用品1号,日用品,40.93,4,179.24
2024-05,1,饮料12号,饮料,55.1,2,101.8
2024-05,1,日用品7号,日用品,10.83,5,57.5
2024-05,1,乳制品11号,乳制品,3.86,3,12.18
2024-05,1,调味品3号,调味品,25.48,2,54.96
2024-05,1,日用品9号,日用品,16.49,1,15.72
2024-05,1,速食8号,速食,36.57,4,141.77
2024-05,1,饮料8号,饮料,15.34,2,31.79
2024-05,1,个护3号,个护,53.72,3,153.85
2024-05,1,零食4号,零食,27.36,2,58.83
2024-05,1,零食5号,零食,41.0,5,205.43
2024-05,1,调味品8号,调味品,27.89,3,79.22
2024-05,1,零食11号,零食,54.32,1,57.19
2024-05,1,日用品8号,日用品,19.55,2,36.22
2024-05,1,日用品6号,日用品,45.43,5,210.35
2024-05,1,调味品7号,调味品,57.03,5,289.42
2024-05,1,零食7号,零食,40.22,3,116.32
2024-05,1,个护2号,个护,15.48,2,32.78
2024-05,1,文具11号,文具,31.57,2,66.01
2024-05,1,文具8号,文具,11.93,1,11.41
2024-05,1,乳制品7号,乳制品,8.41,2,15.97
2024-05,1,个护4号,个护,33.06,3,96.85
2024-05,1,调味品9号,调味品,33.95,3,106.58
2024-05,1,速食2号,速食,16.52,4,72.44
2024-05,1,乳制品6号,乳制品,55.96,4,205.4
2024-05,1,零食4号,零食,27.36,2,55.01
2024-05,2,零食1号,零食,45.66,3,143.45
2024-05,2,零食7号,零食,40.22,4,164.72
2024-05,2,零食6号,零食,39.89,1,37.39
2024-05,2,饮料10号,饮料,38.96,2,82.6
2024-05,2,饮料6号,饮料,37.01,4,134.45
2024-05,2,调味品12号,调味品,15.25,2,32.85
2024-05,2,速食6号,速食,49.22,5,234.48
2024-05,2,调味品7号,调味品,57.03,5,292.73
2024-05,2,个护10号,个护,27.95,4,104.21
2024-05,2,乳制品7号,乳制品,8.41,5,44.04
2024-05,2,零食13号,零食,30.71,1,30.12
2024-05,2,日用品9号,日用品,16.49,2,33.0
2024-05,2,日用品8号,日用品,19.55,3,55.47
2024-05,2,零食6号,零食,39.89,2,82.62
2024-05,2,个护12号,个护,21.5,1,23.58
2024-05,2,零食6号,零食,39.89,2,74.22
2024-05,2,日用品2号,日用品,53.81,1,58.74
2024-05,2,文具12号,文具,25.87,1,24.58
2024-05,2,调味品6号,调味品,25.33,2,45.7
2024-05,2,零食7号,零食,40.22,5,193.26
2024-05,2,速食13号,速食,7.67,1,7.81
2024-05,2,调味品2号,调味品,32.7,3,98.26
2024-05,2,乳制品6号,乳制品,55.96,1,51.14
2024-05,2,速食13号,速食,7.67,1,7.65
2024-05,2,个护13号,个护,58.62,2,119.43
2024-05,2,文具13号,文具,53.37,2,116.26
2024-05,2,乳制品5号,乳制品,27.79,2,50.79
2024-05,2,零食11号,零食,54.32,5,296.41
2024-05,2,零食2号,零食,58.96,4,221.05
2024-05,2,调味品11号,调味品,58.26,1,57.53
2024-05,2,个护4号,个护,33.06,4,143.14
2024-05,2,速食1号,速食,12.93,5,61.92
2024-05,2,文具7号,文具,11.7,2,25.49
2024-05,3,零食10号,零食,34.71,1,32.32
2024-05,3,饮料6号,饮料,37.01,1,37.06
2024-05,3,个护11号,个护,59.31,3,186.42
2024-05,3,文具6号,文具,27.32,3,74.59
2024-05,3,调味品8号,调味品,27.89,1,29.68
2024-05,3,乳制品5号,乳制品,27.79,2,52.61
2024-05,3,日用品8号,日用品,19.55,5,104.48
2024-05,3,调味品8号,调味品,27.89,1,28.94
2024-05,3,速食6号,速食,49.22,3,143.65
2024-05,3,饮料13号,饮料,25.77,5,138.83
2024-05,3,饮料1号,饮料,43.95,2,93.59
2024-05,3,速食2号,速食,16.52,4,68.79
2024-05,3,文具12号,文具,25.87,1,27.24
2024-05,3,个护10号,个护,27.95,5,132.75
2024-05,3,文具4号,文具,8.17,5,41.22
2024-05,3,文具6号,文具,27.32,1,29.84
2024-05,3,速食7号,速食,58.91,4,258.97
2024-05,3,个护7号,个护,47.78,1,50.87
2024-05,3,饮料7号,饮料,42.03,2,77.04
2024-05,3,个护9号,个护,7.36,1,7.59
2024-05,3,零食13号,零食,30.71,4,127.73
2024-05,3,日用品11号,日用品,31.24,4,120.97
2024-05,3,饮料5号,饮料,14.32,3,42.86
2024-05,3,文具7号,文具,11.7,1,11.69
2024-05,3,日用品10号,日用品,38.95,1,42.28
2024-05,3,文具11号,文具,31.57,5,165.61
2024-05,3,日用品6号,日用品,45.43,5,236.71
2024-05,3,饮料1号,饮料,43.95,1,46.29
2024-05,3,日用品2号,日用品,53.81,1,58.84
2024-05,3,调味品8号,调味品,27.89,1,27.59
2024-05,3,乳制品10号,乳制品,8.89,1,9.77
2024-05,3,个护7号,个护,47.78,2,90.53
2024-05,3,调味品13号,调味品,20.73,5,97.83
2024-05,3,日用品12号,日用品,51.99,4,207.1
2024-05,3,速食11号,速食,27.55,4,102.9
2024-05,3,零食1号,零食,45.66,5,228.62
2024-05,3,速食9号,速食,19.8,2,41.8
2024-05,3,速食11号,速食,27.55,5,131.97
2024-05,3,饮料5号,饮料,14.32,3,40.6
2024-05,3,文具5号,文具,23.87,3,74.57
2024-05,3,速食11号,速食,27.55,2,59.93
2024-05,3,个护1号,个护,51.19,1,46.31
2024-05,3,乳制品6号,乳制品,55.96,4,232.56
2024-05,3,日用品12号,日用品,51.99,5,261.09
2024-05,3,日用品12号,日用品,51.99,1,50.85
2024-05,3,个护12号,个护,21.5,5,108.08
2024-05,3,调味品11号,调味品,58.26,3,174.44
2024-05,4,文具6号,文具,27.32,4,116.08
2024-05,4,调味品13号,调味品,20.73,5,110.5
2024-05,4,调味品11号,调味品,58.26,5,301.72
2024-05,4,乳制品12号,乳制品,28.99,1,28.74
2024-05,4,速食6号,速食,49.22,3,157.95
2024-05,4,饮料7号,饮料,42.03,1,42.92
2024-05,4,速食2号,速食,16.52,5,78.28
2024-05,4,乳制品3号,乳制品,4.23,4,16.54
2024-05,4,个护5号,个护,6.78,2,14.87
2024-05,4,个护8号,个护,20.58,2,37.48
2024-05,4,文具12号,文具,25.87,4,93.66
2024-05,4,调味品2号,调味品,32.7,1,30.11
2024-05,4,日用品3号,日用品,20.72,2,45.4
2024-05,4,零食13号,零食,30.71,3,95.26
2024-05,4,乳制品1号,乳制品,46.73,4,201.83
2024-05,4,日用品7号,日用品,10.83,4,40.05
2024-05,4,个护12号,个护,21.5,1,19.4
2024-05,4,速食4号,速食,3.3,2,7.0
2024-05,4,日用品13号,日用品,40.49,3,124.99
2024-05,4,个护9号,个护,7.36,5,37.84
2024-05,4,日用品11号,日用品,31.24,4,133.5
2024-05,4,调味品10号,调味品,36.69,1,37.93
2024-05,4,日用品11号,日用品,31.24,2,67.69
2024-05,4,调味品5号,调味品,28.94,1,29.21
2024-05,4,速食6号,速食,49.22,5,240.35
2024-05,4,饮料10号,饮料,38.96,4,149.49
2024-05,4,零食5号,零食,41.0,1,40.32
2024-05,4,零食12号,零食,23.18,2,47.33
2024-05,4,调味品13号,调味品,20.73,5,111.86
2024-05,4,调味品12号,调味品,15.25,3,47.74
2024-05,4,零食11号,零食,54.32,4,229.87
2024-05,5,乳制品13号,乳制品,56.67,3,172.6
2024-05,5,日用品11号,日用品,31.24,3,95.84
2024-05,5,文具4号,文具,8.17,1,8.96
2024-05,5,速食1号,速食,12.93,3,35.13
2024-05,5,日用品3号,日用品,20.72,3,63.71
2024-05,5,饮料10号,饮料,38.96,5,211.29
2024-05,5,速食9号,速食,19.8,1,18.47
2024-05,5,日用品13号,日用品,40.49,1,41.61
2024-05,5,文具11号,文具,31.57,5,149.03
2024-05,5,速食9号,速食,19.8,4,79.14
2024-05,5,饮料5号,饮料,14.32,1,14.04
2024-05,5,速食13号,速食,7.67,4,30.8
2024-05,5,日用品12号,日用品,51.99,4,209.86
2024-05,5,个护5号,个护,6.78,2,13.32
2024-05,5,速食1号,速食,12.93,2,24.89
2024-05,5,调味品7号,调味品,57.03,1,54.26
2024-05,5,饮料10号,饮料,38.96,1,37.65
2024-05,5,个护11号,个护,59.31,4,249.77
2024-05,5,速食3号,速食,19.7,5,91.28
2024-05,5,速食12号,速食,53.72,4,230.07
2024-05,5,饮料2号,饮料,29.35,4,108.01
2024-05,5,文具4号,文具,8.17,5,43.96
2024-05,5,速食1号,速食,12.93,1,13.67
2024-05,5,乳制品12号,乳制品,28.99,5,153.31
2024-05,5,文具2号,文具,17.27,1,17.29
2024-05,5,乳制品3号,乳制品,4.23,3,13.06
2024-05,5,调味品11号,调味品,58.26,4,240.82
2024-05,5,文具8号,文具,11.93,3,32.94
2024-05,5,调味品3号,调味品,25.48,1,23.67
2024-05,5,个护8号,个护,20.58,4,80.93
2024-05,5,零食3号,零食,5.65,4,21.38
2024-05,5,零食6号,零食,39.89,2,84.41
2024-05,5,零食6号,零食,39.89,1,38.44
2024-05,6,日用品10号,日用品,38.95,5,195.05
2024-05,6,零食1号,零食,45.66,5,208.94
2024-05,6,零食9号,零食,52.4,1,56.96
2024-05,6,调味品11号,调味品,58.26,5,281.27
2024-05,6,日用品9号,日用品,16.49,2,35.16
2024-05,6,文具4号,文具,8.17,1,7.36
2024-05,6,速食8号,速食,36.57,4,132.29
2024-05,6,速食12号,速食,53.72,2,103.6
2024-05,6,文具9号,文具,31.66,4,126.9
2024-05,6,个护7号,个护,47.78,2,86.16
2024-05,6,文具4号,文具,8.17,3,26.65
2024-05,6,乳制品13号,乳制品,56.67,4,224.33
2024-05,6,日用品3号,日用品,20.72,1,19.18
2024-05,6,文具2号,文具,17.27,4,65.68
2024-05,6,零食11号,零食,54.32,1,49.55
2024-05,6,速食2号,速食,16.52,1,15.54
2024-05,6,零食4号,零食,27.36,4,103.3
2024-05,6,调味品9号,调味品,33.95,2,71.1
2024-05,6,调味品5号,调味品,28.94,5,157.04
2024-05,6,调味品5号,调味品,28.94,2,58.22
2024-05,6,调味品7号,调味品,57.03,5,284.37
2024-05,6,个护11号,个护,59.31,2,116.32
2024-05,6,速食6号,速食,49.22,5,258.75
2024-05,6,乳制品4号,乳制品,41.35,1,39.74
2024-05,6,乳制品8号,乳制品,14.25,2,29.77
2024-05,6,日用品8号,日用品,19.55,1,20.02
2024-05,6,文具6号,文具,27.32,3,84.78
2024-05,6,零食3号,零食,5.65,4,20.64
2024-05,6,饮料5号,饮料,14.32,3,40.86
2024-05,6,速食4号,速食,3.3,3,9.91
2024-05,6,饮料6号,饮料,37.01,3,106.62
2024-05,6,调味品6号,调味品,25.33,4,105.63
2024-05,6,日用品12号,日用品,51.99,1,54.35
2024-05,6,乳制品4号,乳制品,41.35,5,225.02
2024-05,6,饮料3号,饮料,18.07,3,58.98
2024-05,6,速食9号,速食,19.8,1,17.97
2024-05,7,速食12号,速食,53.72,3,157.7
2024-05,7,文具1号,文具,3.76,2,7.03
2024-05,7,日用品1号,日用品,40.93,2,85.6
2024-05,7,调味品2号,调味品,32.7,4,141.06
2024-05,7,速食11号,速食,27.55,1,29.26
2024-05,7,速食11号,速食,27.55,3,81.81
2024-05,7,调味品13号,调味品,20.73,3,56.44
2024-05,7,速食6号,速食,49.22,1,53.14
2024-05,7,速食3号,速食,19.7,2,41.24
2024-05,7,日用品2号,日用品,53.81,2,117.52
2024-05,7,日用品6号,日用品,45.43,1,43.3
2024-05,7,速食4号,速食,3.3,4,13.86
2024-05,7,个护3号,个护,53.72,5,270.43
2024-05,7,文具4号,文具,8.17,3,24.03
2024-05,7,文具8号,文具,11.93,4,51.24
2024-05,7,速食7号,速食,58.91,2,129.51
2024-05,7,个护4号,个护,33.06,4,124.73
2024-05,7,个护4号,个护,33.06,4,130.84
2024-05,7,速食8号,速食,36.57,2,68.37
2024-05,7,个护7号,个护,47.78,3,156.47
2024-05,7,零食1号,零食,45.66,5,248.99
2024-05,7,乳制品6号,乳制品,55.96,3,168.53
2024-05,7,调味品1号,调味品,20.54,4,75.15
2024-05,7,日用品2号,日用品,53.81,4,216.68
2024-05,7,个护13号,个护,58.62,1,54.93
2024-05,7,零食5号,零食,41.0,3,122.16
2024-05,7,日用品13号,日用品,40.49,1,42.8
2024-05,7,日用品10号,日用品,38.95,1,39.16
2024-05,7,零食5号,零食,41.0,2,83.7
2024-05,7,文具2号,文具,17.27,2,36.39
2024-05,7,调味品4号,调味品,8.44,5,38.63
2024-05,7,速食4号,速食,3.3,4,13.0
2024-05,7,个护12号,个护,21.5,5,106.15
2024-05,7,速食8号,速食,36.57,1,33.14
2024-05,7,速食11号,速食,27.55,5,136.62
2024-05,7,饮料8号,饮料,15.34,3,46.44
2024-05,7,饮料12号,饮料,55.1,3,169.27
2024-05,7,调味品3号,调味品,25.48,4,100.58
2024-05,7,速食11号,速食,27.55,2,58.41
2024-05,7,日用品1号,日用品,40.93,5,194.51
2024-05,7,个护10号,个护,27.95,3,89.16
2024-05,7,速食10号,速食,13.45,2,28.57
2024-05,8,文具8号,文具,11.93,5,54.39
2024-05,8,调味品5号,调味品,28.94,3,79.49
2024-05,8,调味品9号,调味品,33.95,2,70.65
2024-05,8,日用品3号,日用品,20.72,5,110.77
2024-05,8,日用品10号,日用品,38.95,2,74.68
2024-05,8,文具13号,文具,53.37,2,105.63
2024-05,8,速食5号,速食,14.69,1,13.63
2024-05,8,速食12号,速食,53.72,3,150.36
2024-05,8,调味品3号,调味品,25.48,1,27.34
2024-05,8,乳制品6号,乳制品,55.96,1,60.33
2024-05,8,零食9号,零食,52.4,5,258.6
2024-05,8,零食2号,零食,58.96,4,251.36
2024-05,8,文具6号,文具,27.32,1,29.74
2024-05,8,个护7号,个护,47.78,1,43.07
2024-05,8,个护2号,个护,15.48,1,15.42
2024-05,8,乳制品8号,乳制品,14.25,1,13.39
2024-05,8,文具4号,文具,8.17,3,22.99
2024-05,8,个护1号,个护,51.19,3,150.98
2024-05,8,日用品4号,日用品,21.1,3,67.74
2024-05,8,速食1号,速食,12.93,5,59.75
2024-05,8,调味品3号,调味品,25.48,2,50.4
2024-05,8,乳制品5号,乳制品,27.79,3,76.08
2024-05,8,文具6号,文具,27.32,1,25.83
2024-05,8,日用品5号,日用品,40.97,3,111.0
2024-05,8,调味品13号,调味品,20.73,4,85.06
2024-05,8,日用品2号,日用品,53.81,2,101.66
2024-05,8,文具8号,文具,11.93,2,23.05
2024-05,8,零食8号,零食,44.44,1,44.41
2024-05,8,饮料6号,饮料,37.01,4,144.84
2024-05,8,零食2号,零食,58.96,2,106.97
2024-05,8,个护11号,个护,59.31,2,126.43
2024-05,8,文具7号,文具,11.7,1,10.77
2024-05,8,日用品10号,日用品,38.95,4,155.5
2024-05,8,速食4号,速食,3.3,1,3.23
2024-05,8,个护7号,个护,47.78,1,46.46
2024-05,8,日用品3号,日用品,20.72,1,20.3
2024-05,8,文具6号,文具,27.32,2,58.14
2024-05,8,文具4号,文具,8.17,5,40.95
2024-05,8,文具6号,文具,27.32,1,25.35
2024-05,8,调味品8号,调味品,27.89,2,53.08
2024-05,8,日用品5号,日用品,40.97,1,39.69
2024-05,9,调味品4号,调味品,8.44,5,39.51
2024-05,9,日用品11号,日用品,31.24,5,144.4
2024-05,9,零食3号,零食,5.65,3,17.32
2024-05,9,个护6号,个护,34.11,1,31.27
2024-05,9,个护4号,个护,33.06,2,71.43
2024-05,9,零食8号,零食,44.44,1,47.59
2024-05,9,调味品9号,调味品,33.95,2,65.9
2024-05,9,个护13号,个护,58.62,5,304.13
2024-05,9,文具2号,文具,17.27,1,17.12
2024-05,9,个护4号,个护,33.06,5,152.0
2024-05,9,调味品1号,调味品,20.54,4,76.06
2024-05,9,零食11号,零食,54.32,2,104.84
2024-05,9,零食10号,零食,34.71,3,101.23
2024-05,9,调味品12号,调味品,15.25,1,15.92
2024-05,9,调味品2号,调味品,32.7,2,61.8
2024-05,9,零食3号,零食,5.65,4,23.52
2024-05,9,饮料9号,饮料,32.66,1,33.08
2024-05,9,速食4号,速食,3.3,1,3.43
2024-05,9,调味品11号,调味品,58.26,4,235.36
2024-05,9,个护12号,个护,21.5,5,97.94
2024-05,9,速食8号,速食,36.57,4,146.99
2024-05,9,调味品2号,调味品,32.7,4,128.44
2024-05,9,调味品9号,调味品,33.95,3,107.22
2024-05,9,零食8号,零食,44.44,3,136.22
2024-05,9,速食8号,速食,36.57,3,104.93
2024-05,9,乳制品8号,乳制品,14.25,5,72.6
2024-05,9,速食6号,速食,49.22,5,246.72
2024-05,9,日用品11号,日用品,31.24,2,57.49
2024-05,9,速食10号,速食,13.45,5,73.59
2024-05,9,乳制品8号,乳制品,14.25,5,73.12
2024-05,9,乳制品7号,乳制品,8.41,3,27.12
2024-05,9,速食5号,速食,14.69,2,29.97
2024-05,9,零食2号,零食,58.96,4,219.41
2024-05,9,个护11号,个护,59.31,2,108.55
2024-05,9,零食10号,零食,34.71,3,97.79
2024-05,9,文具2号,文具,17.27,4,73.95
2024-05,9,速食4号,速食,3.3,2,5.98
2024-05,9,乳制品5号,乳制品,27.79,2,57.58
2024-05,9,速食10号,速食,13.45,4,53.67
2024-05,9,日用品12号,日用品,51.99,4,199.03
2024-05,9,零食13号,零食,30.71,2,61.91
2024-05,10,文具10号,文具,46.56,5,245.01
2024-05,10,个护12号,个护,21.5,2,46.76
2024-05,10,零食10号,零食,34.71,5,182.45
2024-05,10,日用品1号,日用品,40.93,5,198.61
2024-05,10,日用品13号,日用品,40.49,5,220.78
2024-05,10,文具7号,文具,11.7,3,33.71
2024-05,10,文具2号,文具,17.27,4,62.26
2024-05,10,零食10号,零食,34.71,2,74.83
2024-05,10,零食2号,零食,58.96,4,245.62
2024-05,10,调味品10号,调味品,36.69,3,109.64
2024-05,10,个护8号,个护,20.58,5,95.48
2024-05,10,日用品9号,日用品,16.49,2,31.28
2024-05,10,饮料11号,饮料,11.55,3,33.39
2024-05,10,速食1号,速食,12.93,1,13.83
2024-05,10,个护4号,个护,33.06,5,170.62
2024-05,10,饮料3号,饮料,18.07,5,97.41
2024-05,10,文具5号,文具,23.87,2,44.88
2024-05,10,调味品8号,调味品,27.89,5,147.24
2024-05,10,速食6号,速食,49.22,3,140.88
2024-05,10,速食13号,速食,7.67,4,29.73
2024-05,10,日用品6号,日用品,45.43,2,84.98
2024-05,10,饮料4号,饮料,9.61,3,28.55
2024-05,10,饮料5号,饮料,14.32,2,29.25
2024-05,10,饮料7号,饮料,42.03,3,120.76
2024-05,10,速食2号,速食,16.52,5,75.72
2024-05,10,乳制品11号,乳制品,3.86,1,4.16
2024-05,10,个护8号,个护,20.58,1,20.12
2024-05,10,零食12号,零食,23.18,2,48.58
2024-05,10,个护9号,个护,7.36,3,21.14
2024-05,10,文具3号,文具,20.78,1,20.41
2024-05,10,速食1号,速食,12.93,1,12.81
2024-05,10,调味品13号,调味品,20.73,3,60.07
2024-05,10,乳制品3号,乳制品,4.23,1,3.9
2024-05,10,乳制品3号,乳制品,4.23,5,19.46
2024-05,10,日用品10号,日用品,38.95,5,191.23
2024-05,10,个护12号,个护,21.5,5,98.49
2024-05,10,零食6号,零食,39.89,1,37.78
2024-05,10,调味品6号,调味品,25.33,1,25.69
2024-05,10,乳制品12号,乳制品,28.99,4,118.07
2024-05,11,乳制品12号,乳制品,28.99,5,147.67
2024-05,11,饮料8号,饮料,15.34,1,16.35
2024-05,11,乳制品4号,乳制品,41.35,4,161.28
2024-05,11,乳制品9号,乳制品,52.36,1,53.82
2024-05,11,饮料4号,饮料,9.61,3,28.0
2024-05,11,个护4号,个护,33.06,3,102.31
2024-05,11,调味品3号,调味品,25.48,4,103.64
2024-05,11,零食6号,零食,39.89,4,161.91
2024-05,11,零食9号,零食,52.4,3,159.82
2024-05,11,饮料3号,饮料,18.07,5,88.77
2024-05,11,乳制品6号,乳制品,55.96,4,246.14
2024-05,11,零食12号,零食,23.18,5,125.49
2024-05,11,日用品4号,日用品,21.1,2,44.28
2024-05,11,日用品5号,日用品,40.97,1,44.78
2024-05,11,文具9号,文具,31.66,1,32.24
2024-05,11,速食10号,速食,13.45,3,39.34
2024-05,11,个护6号,个护,34.11,3,94.35
2024-05,11,调味品6号,调味品,25.33,3,80.33
2024-05,11,零食9号,零食,52.4,3,156.82
2024-05,11,速食10号,速食,13.45,4,49.23
2024-05,11,日用品11号,日用品,31.24,3,102.84
2024-05,11,个护9号,个护,7.36,5,33.18
2024-05,11,乳制品9号,乳制品,52.36,3,162.0
2024-05,11,饮料9号,饮料,32.66,2,70.43
2024-05,11,零食6号,零食,39.89,5,183.07
2024-05,11,饮料3号,饮料,18.07,2,39.52
2024-05,11,日用品10号,日用品,38.95,3,107.53
2024-05,11,个护6号,个护,34.11,5,170.83
2024-05,11,调味品3号,调味品,25.48,1,23.34
2024-05,11,文具12号,文具,25.87,4,107.9
2024-05,11,速食3号,速食,19.7,4,83.99
2024-05,11,调味品8号,调味品,27.89,2,61.14
2024-05,11,速食13号,速食,7.67,5,35.65
2024-05,11,乳制品7号,乳制品,8.41,2,16.88
2024-05,11,速食3号,速食,19.7,5,108.1
2024-05,11,零食2号,零食,58.96,3,170.6
2024-05,11,速食7号,速食,58.91,1,55.72
2024-05,11,零食9号,零食,52.4,1,57.19
2024-05,11,饮料5号,饮料,14.32,3,42.52
2024-05,11,个护13号,个护,58.62,3,188.05
2024-05,11,零食8号,零食,44.44,5,237.2
2024-05,11,日用品13号,日用品,40.49,1,37.41
2024-05,11,速食9号,速食,19.8,3,64.9
2024-05,11,调味品6号,调味品,25.33,3,74.62
2024-05,11,饮料12号,饮料,55.1,3,160.5
2024-05,11,文具6号,文具,27.32,3,77.11
2024-05,12,调味品2号,调味品,32.7,2,63.22
2024-05,12,乳制品2号,乳制品,4.08,5,20.75
2024-05,12,日用品8号,日用品,19.55,2,39.62
2024-05,12,文具8号,文具,11.93,4,47.01
2024-05,12,文具8号,文具,11.93,2,25.32
2024-05,12,个护3号,个护,53.72,5,255.25
